omega,lon,lat
0.08731992,-120.094,38.62627
0.038980074,-120.5208,38.8577
0.04923398,-120.1582,38.90858
-0.0074066445,-119.795,38.9581
0.016519137,-120.223,39.19109
-0.035238676,-119.8581,39.24089
0.022378512,-120.2885,39.4738
-0.022543363,-119.9218,39.5239
0.026722223,-120.4549,38.57567
0.058460504,-120.094,38.62627
0.03355816,-120.5208,38.8577
0.05357769,-120.1582,38.90858
0.013050348,-119.795,38.9581
0.035999566,-120.223,39.19109
-0.0030629337,-119.8581,39.24089
0.03404644,-120.2885,39.4738
-0.005992621,-119.9218,39.5239
-0.0051465556,-120.4549,38.57567
0.013896413,-120.094,38.62627
0.0046190694,-120.5208,38.8577
0.021708913,-120.1582,38.90858
-0.011494212,-119.795,38.9581
0.025615163,-120.223,39.19109
-0.021748118,-119.8581,39.24089
