air,lon,lat
279.9648,-119.9218,39.5239
285.2478,-120.4549,38.57567
274.39624,-120.094,38.62627
283.8103,-120.5208,38.8577
275.02905,-120.1582,38.90858
274.35718,-119.795,38.9581
278.23218,-120.223,39.19109
276.1306,-119.8581,39.24089
275.59155,-120.2885,39.4738
280.66968,-119.9218,39.5239
278.81854,-120.4549,38.57567
268.39667,-120.094,38.62627
278.49823,-120.5208,38.8577
269.13885,-120.1582,38.90858
270.52948,-119.795,38.9581
272.7951,-120.223,39.19109
270.83417,-119.8581,39.24089
269.2248,-120.2885,39.4738
275.0451,-119.9218,39.5239
278.01648,-120.4549,38.57567
265.6571,-120.094,38.62627
277.3446,-120.5208,38.8577
266.43054,-120.1582,38.90858
265.03992,-119.795,38.9581
270.93054,-120.223,39.19109
265.8368,-119.8581,39.24089
266.07898,-120.2885,39.4738
270.69617,-119.9218,39.5239
